//ID,NAME,JNAME,TYPE,PRICE,SELL,WEIGHT,ATK,MATK,DEF,MDEF,RANGE,SLOT,JOB,GENDER,LOC,WLV,ELV,VIEW,ELEMENT,EFFECT
1355,Hammer_,Hammer,4,15500,0,2300,110,0,0,0,1,3,2210,2,34,2,16,7,0,0
1356,Hammer__,Hammer,4,15500,0,2300,110,0,0,0,1,0,2210,2,34,2,16,7,0,0
1357,Buster,"Buster Axe",4,34000,0,2500,140,0,0,0,1,1,2210,2,34,3,30,7,0,0
1358,Buster_,"Buster Axe",4,34000,0,2500,140,0,0,0,1,2,2210,2,34,3,30,7,0,0
1359,Buster__,"Buster Axe",4,34000,0,2500,140,0,0,0,1,0,2210,2,34,3,30,7,0,0
1360,Two_handed_Axe,"Two Handed Axe",4,55000,0,3000,170,0,0,0,1,1,2210,2,34,3,30,7,0,0
1361,Two_handed_Axe_,"Two Handed Axe",4,55000,0,3000,170,0,0,0,1,2,2210,2,34,3,30,7,0,0
1362,Two_handed_Axe__,"Two Handed Axe",4,55000,0,3000,170,0,0,0,1,0,2210,2,34,3,30,7,0,0
1363,Brood_Axe,"Bloody Axe",4,20,0,4000,170,0,0,0,1,0,2210,2,34,4,44,7,0,0
1364,Great_Axe,"Great Axe",4,20,0,1800,187,0,0,0,1,0,2210,2,34,4,44,7,0,0
1365,Sabbath,Sabbath,4,20,0,2300,120,0,0,0,1,0,2210,2,34,4,44,7,7,0
1366,Light_Epsilon,"Light Epsilon",4,20,0,2300,180,0,0,0,1,0,2210,2,34,4,44,7,6,0
1367,Slaughter,Slaughter,4,20,0,2500,120,0,0,0,1,0,2210,2,34,4,44,7,2,0
1368,Tomahawk,Tomahawk,4,20,0,2500,165,0,0,0,1,0,2210,2,34,4,44,7,4,0
1369,Guillotine,Guillotine,4,20,0,3000,215,0,0,0,1,0,2210,2,34,4,44,7,0,0
1401,Javelin,Javelin,4,150,0,700,28,0,0,0,3,3,130,2,2,1,4,4,0,0
1402,Javelin_,Javelin,4,150,0,700,28,0,0,0,3,4,130,2,2,1,4,4,0,0
1403,Javelin__,Javelin,4,150,0,700,28,0,0,0,3,0,130,2,2,1,4,4,0,0
1404,Spear,Spear,4,1700,0,850,44,0,0,0,3,3,130,2,2,1,4,4,0,0
1405,Spear_,Spear,4,1700,0,850,44,0,0,0,3,4,130,2,2,1,4,4,0,0
1406,Spear__,Spear,4,1700,0,850,44,0,0,0,3,0,130,2,2,1,4,4,0,0
1407,Pike,Pike,4,3450,0,1000,60,0,0,0,3,3,130,2,2,1,4,4,0,0
1408,Pike_,Pike,4,3450,0,1000,60,0,0,0,3,4,130,2,2,1,4,4,0,0
1409,Pike__,Pike,4,3450,0,1000,60,0,0,0,3,0,130,2,2,1,4,4,0,0
1410,Lance,Lance,4,60000,0,2500,185,0,0,0,3,0,128,2,34,3,33,5,0,0
1411,Lance_,Lance,4,60000,0,2500,185,0,0,0,3,0,128,2,34,3,33,5,0,0
1412,Lance__,Lance,4,60000,0,2500,185,0,0,0,3,0,128,2,34,3,33,5,0,0
1413,Gungnir,Gungnir,4,20,0,500,120,0,0,0,3,0,130,2,2,4,4,4,0,0
1414,Gelerdria,Gelerdria,4,20,0,700,145,0,0,0,3,0,130,2,2,4,48,4,2,0
1415,Skewer,Skewer,4,20,0,850,100,0,0,0,3,0,130,2,2,4,48,4,0,0
1416,Tjungkuletti,Tjungkuletti,4,20,0,1000,95,0,0,0,3,0,130,2,2,4,48,4,0,0
1417,Pole_Axe,"Pole Axe",4,20,10,3800,160,0,0,0,3,1,130,2,2,3,71,4,0,0
1451,Guisarme,Guisarme,4,13000,0,1000,84,0,0,0,3,2,130,2,34,2,18,5,0,0
1452,Guisarme_,Guisarme,4,13000,0,1000,84,0,0,0,3,3,130,2,34,2,18,5,0,0
1453,Guisarme__,Guisarme,4,13000,0,1000,84,0,0,0,3,0,130,2,34,2,18,5,0,0
1454,Glaive,Glaive,4,20000,0,1200,104,0,0,0,3,2,130,2,34,2,18,5,0,0
1455,Glaive_,Glaive,4,20000,0,1200,104,0,0,0,3,3,130,2,34,2,18,5,0,0
1456,Glaive__,Glaive,4,20000,0,1200,104,0,0,0,3,0,130,2,34,2,18,5,0,0
1457,Partizan,Partizan,4,27000,0,2000,124,0,0,0,3,1,130,2,34,2,18,5,0,0
1458,Partizan_,Partizan,4,27000,0,2000,124,0,0,0,3,2,130,2,34,2,18,5,0,0
1459,Partizan__,Partizan,4,27000,0,2000,124,0,0,0,3,0,130,2,34,3,33,5,0,0
1460,Trident,Trident,4,51000,0,1200,150,0,0,0,3,2,130,2,34,3,33,5,0,0
1461,Trident_,Trident,4,51000,0,1200,150,0,0,0,3,3,130,2,34,3,33,5,0,0
1462,Trident__,Trident,4,51000,0,1200,150,0,0,0,3,0,130,2,34,3,33,5,0,0
1463,Halberd,Halberd,4,54000,0,2500,165,0,0,0,3,1,130,2,34,3,33,5,0,0
1464,Halberd_,Halberd,4,54000,0,2500,165,0,0,0,3,2,130,2,34,3,33,5,0,0
1465,Halberd__,Halberd,4,54000,0,2500,165,0,0,0,3,0,130,2,34,3,33,5,0,0
1466,Crescent_Scythe,"Crescent Scythe",4,20,0,2500,180,0,0,0,3,0,130,2,34,4,48,5,0,0
1467,Vilguisamre,Vilguisamre,4,20,0,1000,183,0,0,0,3,0,130,2,34,4,48,5,0,0
1468,Zephyrus,Zephyrus,4,20,0,1200,170,0,0,0,3,0,130,2,34,4,48,5,4,0
1469,Longinus's_Spear,"Longinus's Spear",4,20,0,2000,180,0,0,0,3,0,130,2,34,4,48,5,7,0
1470,Brionac,Brionac,4,20,0,1200,190,0,0,0,3,0,130,2,34,4,48,5,6,0
1471,Hellfire,Hellfire,4,20,0,2500,200,0,0,0,3,0,130,2,34,4,48,5,3,0
1472,Soul_Staff,"Soul Staff",4,0,0,1400,25,0,0,0,1,0,1301,2,34,3,73,10,0,0
1473,Wizardy_Staff,"Wizardry Staff",4,0,0,2400,120,0,0,0,1,0,1301,2,34,3,90,10,0,0
1501,Club,Club,4,120,0,700,23,0,0,0,1,3,3251,2,2,1,2,8,0,0
1502,Club_,Club,4,120,0,700,23,0,0,0,1,4,3251,2,2,1,2,8,0,0
1503,Club__,Club,4,120,0,700,23,0,0,0,1,0,3251,2,2,1,2,8,0,0
1504,Mace,Mace,4,1600,0,800,37,0,0,0,1,3,3251,2,2,1,2,8,0,0
1505,Mace_,Mace,4,1600,0,800,37,0,0,0,1,4,3251,2,2,1,2,8,0,0
1506,Mace__,Mace,4,1600,0,800,37,0,0,0,1,0,3251,2,2,1,2,8,0,0
1507,Smasher,Smasher,4,9000,0,1000,54,0,0,0,1,2,3251,2,2,2,14,8,0,0
1508,Smasher_,Smasher,4,9000,0,1000,54,0,0,0,1,3,3251,2,2,2,14,8,0,0
1509,Smasher__,Smasher,4,9000,0,1000,54,0,0,0,1,3,3251,2,2,2,14,8,0,0
1510,Flail,Flail,4,16000,0,900,69,0,0,0,1,2,3251,2,2,2,14,8,0,0
1511,Flail_,Flail,4,16000,0,900,69,0,0,0,1,3,3251,2,2,2,14,8,0,0
1512,Flail__,Flail,4,16000,0,900,69,0,0,0,1,3,3251,2,2,2,14,8,0,0
1513,Morning_Star,"Morning Star",4,41000,0,1500,110,0,0,0,1,1,3251,2,2,3,27,8,0,0
1514,Morning_Star_,"Morning Star",4,41000,0,1500,110,0,0,0,1,2,3251,2,2,3,27,8,0,0
1515,Morning_Star__,"Morning Star",4,41000,0,1500,110,0,0,0,1,2,3251,2,2,3,27,8,0,0
1516,Sword_Mace,"Sword Mace",4,50000,0,1200,130,0,0,0,1,0,3251,2,2,3,27,8,0,0
1517,Sword_Mace_,"Sword Mace",4,50000,0,1200,130,0,0,0,1,1,3251,2,2,3,27,8,0,0
1518,Sword_Mace__,"Sword Mace",4,50000,0,1200,130,0,0,0,1,1,3251,2,2,3,27,8,0,0
1519,Chain,Chain,4,23000,0,800,84,0,0,0,1,2,3251,2,2,2,14,8,0,0
1520,Chain_,Chain,4,23000,0,800,84,0,0,0,1,3,3251,2,2,2,14,8,0,0
1521,Chain__,Chain,4,23000,0,800,84,0,0,0,1,3,3251,2,2,2,14,8,0,0
1522,Stunner,Stunner,4,60000,0,2000,140,0,0,0,1,0,1024,2,2,3,27,8,0,0
1523,Spike,Spike,4,20,0,700,85,0,0,0,1,0,3251,2,2,4,40,8,0,0
1524,Golden_Mace,"Golden Mace",4,20,0,800,110,0,0,0,1,0,3251,2,2,4,40,8,0,0
1525,Long_Mace,"Long Mace",4,20,0,800,135,0,0,0,3,0,3251,2,2,4,40,8,0,0
1526,Slash,Slash,4,20,0,1000,145,0,0,0,1,0,3251,2,2,4,40,8,0,0
1527,Quadrille,Quadrille,4,20,0,900,165,0,0,0,1,0,3251,2,2,4,40,8,0,0
1528,Grand_Cross,"Grand Cross",4,20,0,1500,140,0,0,0,1,0,3251,2,2,4,40,8,6,0
1529,Slang_Driver,"Iron Driver",4,20,0,3000,155,0,0,0,1,0,312755,2,2,3,78,8,0,0
1530,Mjolnir,Mjolnir,4,20,0,6000,250,0,0,0,1,0,312755,2,2,4,95,8,4,0
1531,Spanner,Spanner,4,20,0,2500,115,0,0,0,1,0,230165,2,2,3,55,8,0,0
1550,Book,Book,4,30000,0,600,100,0,0,0,1,3,1024,2,2,2,14,15,0,0
1551,Bible,Bible,4,60000,0,1000,139,0,0,0,1,2,66560,2,2,3,27,15,0,0
1552,Tablet,Tablet,4,51000,0,800,151,0,0,0,1,1,66560,2,2,3,27,15,0,0
1553,Book_of_Billows,"Book of Billows",4,0,0,66560,90,0,0,0,1,0,1024,2,2,3,27,15,1,0
1554,Book_of_Mother_Earth,"Book of Mother Earth",4,0,0,750,90,0,0,0,1,0,66560,2,2,3,27,15,2,0
1555,Book_of_Blazing_Sun,"Book of Blazing Sun",4,0,0,750,90,0,0,0,1,0,66560,2,2,3,27,15,3,0
1556,Book_of_Gust_of_Wind,"Book of Gust of Wind",4,0,0,750,90,0,0,0,1,0,66560,2,2,3,27,15,4,0
1557,Book_of_the_Apocalypse,"Book of the Apocalypse",4,0,0,800,120,0,0,0,1,0,66560,2,2,4,40,15,7,0
1558,Girl's_Diary,"Girl's Diary",4,0,0,300,60,0,0,0,1,1,66560,2,2,4,40,15,0,0
1599,Angra_Manyu,"Angra Manyu",4,1,1,10,8000,1000,0,0,2,4,2088959,2,2,4,1,8,0,0
1601,Rod,Rod,4,50,0,400,15,0,0,0,1,3,1301,2,2,1,1,10,0,0
1602,Rod_,Rod,4,50,0,400,15,0,0,0,1,4,1301,2,2,1,1,10,0,0
1603,Rod__,Rod,4,50,0,400,15,0,0,0,1,0,1301,2,2,1,1,10,0,0
1604,Wand,Wand,4,2500,0,400,25,0,0,0,1,2,1301,2,2,2,12,10,0,0
1605,Wand_,Wand,4,2500,0,400,25,0,0,0,1,3,1301,2,2,2,12,10,0,0
1606,Wand__,Wand,4,2500,0,400,25,0,0,0,1,0,1301,2,2,2,12,10,0,0
1607,Staff,Staff,4,9500,0,400,40,0,0,0,1,2,1301,2,2,2,12,10,0,0
1608,Staff_,Staff,4,9500,0,400,40,0,0,0,1,3,1301,2,2,2,12,10,0,0
1609,Staff__,Staff,4,9500,0,400,40,0,0,0,1,0,1301,2,2,2,12,10,0,0
1610,Arc_Wand,"Arc Wand",4,45000,0,400,60,0,0,0,1,1,1301,2,2,3,24,10,0,0
1611,Arc_Wand_,"Arc Wand",4,45000,0,400,60,0,0,0,1,2,1301,2,2,3,24,10,0,0
1612,Arc_Wand__,"Arc Wand",4,45000,0,400,60,0,0,0,1,0,1301,2,2,3,24,10,0,0
1613,Mighty_Staff,"Mighty Staff",4,20,0,700,130,0,0,0,1,0,1300,2,2,3,24,10,0,0
1614,Wand_of_Occult,"Wand of Occult",4,20,0,700,75,0,0,0,1,0,1300,2,2,3,24,10,0,0
1615,Bone_Wand,"Bone Wand",4,20,0,700,40,0,0,0,1,0,1300,2,2,3,24,10,9,0
1701,Bow,Bow,4,1000,0,500,15,0,0,0,5,3,584,2,34,1,4,11,0,0
1702,Bow_,Bow,4,1000,0,500,15,0,0,0,5,4,584,2,34,1,4,11,0,0
1703,Bow__,Bow,4,1000,0,500,15,0,0,0,5,0,584,2,34,1,4,11,0,0
1704,Composite_Bow,"Composite Bow",4,2500,0,600,29,0,0,0,5,3,584,2,34,1,4,11,0,0
1705,Composite_Bow_,"Composite Bow",4,2500,0,600,29,0,0,0,5,4,584,2,34,1,4,11,0,0
1706,Composite_Bow__,"Composite Bow",4,2500,0,600,29,0,0,0,5,0,584,2,34,1,4,11,0,0
1707,Great_Bow,"Great Bow",4,10000,0,1000,50,0,0,0,5,2,584,2,34,2,18,11,0,0
1708,Great_Bow_,"Great Bow",4,10000,0,1000,50,0,0,0,5,3,584,2,34,2,18,11,0,0
1709,Great_Bow__,"Great Bow",4,10000,0,1000,50,0,0,0,5,0,584,2,34,2,18,11,0,0
1710,CrossBow,Crossbow,4,17000,0,900,65,0,0,0,5,2,584,2,34,2,18,11,0,0
1711,CrossBow_,Crossbow,4,17000,0,900,65,0,0,0,5,3,584,2,34,2,18,11,0,0
1712,CrossBow__,Crossbow,4,17000,0,900,65,0,0,0,5,0,584,2,34,2,18,11,0,0
