Name,item1,percent1,item2,percent2,item3,percent3,item4,percent4,item5,percent5,item6,percent6,item7,percent7,item8,percent8
ROCKER,940,5000,909,5500,2298,4,1402,80,520,10,752,5,512,0,4021,10
THIEF_BUG_,955,3500,910,250,1108,15,928,200,507,400,716,50,1002,400,4026,7
THIEF_BUG__,1011,40,928,5500,955,1500,1152,10,508,90,729,5,512,0,4050,1
MUKA,993,70,952,5500,713,2000,511,400,507,1000,1451,50,1002,350,4036,2
SMOKIE,945,5500,919,5500,516,800,2213,2,754,2,512,0,512,0,4044,1
YOYO,942,5500,513,1500,508,100,919,5000,753,5,756,24,512,0,4051,1
METALLER,990,60,940,6500,911,400,757,49,707,20,935,3000,512,0,4057,1
MISTRESS,1413,150,518,10000,2249,250,616,1000,7018,10,985,4400,984,3300,4132,1
BIGFOOT,948,5500,2289,5,919,5000,740,80,516,1500,518,400,756,43,4074,1
NIGHTMARE,944,5500,510,500,2608,2,603,30,505,100,1261,1,984,60,4127,1
PORING_,529,2000,530,1000,507,1000,512,1000,2236,100,741,10,512,0,4005,1
LUNATIC,705,6500,949,1000,2262,4,1102,100,512,600,515,1100,622,20,4006,15
MEGALODON,959,5500,932,1500,510,80,717,120,719,10,603,2,624,20,4067,2
STROUF,951,5500,756,115,2241,2,1461,2,949,3000,720,20,956,1500,4111,1
VADON,991,35,960,5500,910,3000,2313,5,943,100,757,34,717,50,4049,1
CORNUTUS,991,45,961,5500,911,800,757,53,2106,5,943,1000,717,100,4061,3
HYDRA,1011,25,962,5500,938,1500,971,20,525,5,517,700,512,0,4035,1
SWORDFISH,995,10,963,5500,756,33,2257,2,757,45,1117,25,956,600,4089,1
KUKRE,991,30,955,5500,910,400,528,500,507,650,928,450,623,20,4027,5
PIRATE_SKELETON,932,3000,2287,5,1125,5,2211,60,1104,150,756,43,628,20,4073,1
KAHO,994,30,1003,100,953,3000,911,1000,757,10,716,100,970,5,512,0
CRAB,964,5500,960,1500,7049,700,1001,13,512,0,512,0,757,37,512,0
SHELLFISH,965,5500,966,1000,7049,500,1056,1000,1001,10,512,0,757,18,512,0
TURTLE,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0
SKELETON,1010,90,932,800,1505,80,909,3000,507,850,2609,30,512,0,4025,7
POISON_SPORE,7033,5500,2221,20,511,550,510,50,972,30,921,1200,512,0,4048,2
RED_PLANT,507,5500,712,1000,711,1000,905,500,906,300,914,500,708,50,2269,2
BLUE_PLANT,510,5500,712,1000,711,1000,905,500,906,300,522,50,514,1000,2270,2
GREEN_PLANT,511,7000,712,1000,621,20,905,3000,906,1500,704,50,521,50,2270,2
YELLOW_PLANT,508,5500,712,1000,711,1000,905,500,906,300,707,5,914,500,2269,2
WHITE_PLANT,509,5500,712,1000,631,20,905,3000,906,1500,521,50,703,50,2269,2
SHINING_PLANT,510,5500,508,1000,509,1000,710,5,608,20,518,500,607,50,714,1
BLACK_MUSHROOM,970,50,971,50,630,20,949,2000,991,800,921,5500,921,5500,7033,5500
RED_MUSHROOM,970,50,972,50,630,20,949,2000,990,1000,921,5500,921,5500,7033,5500
GOLDEN_BUG,969,1000,1524,150,2246,250,10016,500,714,300,985,2000,984,1500,4128,1
ORC_HERO,1124,1000,968,10000,984,3700,1366,150,2106,250,985,4700,10018,500,4143,1
VOCAL,2247,50,940,8000,721,1000,752,1500,912,5500,512,0,532,3000,4021,60
TOAD,2244,50,518,2000,729,1000,746,1500,970,100,512,0,512,0,4014,5
MASTERING,2257,200,619,50,722,1000,741,1500,512,8000,512,8000,531,4000,4001,100
DRAGON_FLY,2245,200,501,8000,719,1500,742,2000,2607,200,625,50,533,3000,4009,40
VAGABOND_WOLF,2248,200,920,8000,728,1500,919,5500,517,8000,517,8000,626,50,4029,40
ECLIPSE,2250,200,515,8000,727,1200,746,1500,706,30,622,50,534,5000,4006,70
AMBERNITE,991,35,946,5500,910,1200,935,3000,943,2,757,14,1002,250,4032,5
ANDRE,955,5500,910,1000,938,500,993,40,1001,4,1002,450,757,28,4043,1
ANGELING,2254,100,2324,60,610,500,2282,1,504,1000,741,50,714,40,4054,1
ANT_EGG,1010,320,935,2500,909,2000,938,650,713,2000,1002,300,512,0,4013,2
ANUBIS,2602,5,504,600,2601,5,1007,15,512,0,512,0,512,0,4138,1
ARGIOPE,1042,5500,912,1200,757,175,2406,5,511,1500,719,10,512,0,4114,1
ARGOS,1025,5500,911,1200,1042,500,757,61,511,670,508,250,10017,15,4075,2
BAPHOMET_,923,500,984,63,1464,2,607,50,610,100,503,300,512,0,4129,1
BATHORY,1001,200,1061,5500,2252,3,1611,5,1000,30,1006,15,637,20,4119,1
CARAMEL,1027,5500,2310,5,919,5500,1455,10,1405,15,1408,20,512,0,4063,1
COCO,1026,5500,2502,20,914,3000,919,2500,516,500,512,0,512,0,4041,1
DENIRO,955,6000,910,3000,938,1200,990,45,1001,8,1002,550,757,34,4043,1
DESERT_WOLF,1253,5,7030,5500,2311,1,517,1200,920,2000,756,53,512,0,4082,1
BABY_DESERT_WOLF,1010,85,919,5500,2306,60,517,600,2301,200,512,0,512,0,4023,10
DEVIACE,995,25,1053,5500,1054,1000,5011,2,971,100,1256,3,756,161,4125,1
DEVIRUCHI,1038,5500,1039,400,909,2,1458,2,1009,5,912,1500,756,154,4122,1
DOKEBI,1021,5500,757,112,1517,2,1613,1,969,1,1501,300,1005,5,4098,1
DRAINLIAR,1011,60,913,3000,725,20,507,1000,7006,5500,7006,1500,756,40,4069,1
DRAKE,1127,500,1125,950,1135,150,1128,400,5019,300,985,3200,984,2300,4137,1
DROPS,909,7500,1602,80,938,500,512,1100,713,1700,741,5,620,20,4004,10
DUSTINESS,1057,5500,1058,500,2291,4,928,2000,1001,10,507,1200,512,0,4056,2
EDDGA,1133,150,2268,250,518,10000,1258,500,1030,250,985,2300,984,1700,4123,1
EGGYRA,911,1000,5015,20,7032,550,507,1000,643,300,645,250,757,57,4070,1
EVIL_DRUID,2217,10,1615,1,2508,2,1551,10,610,200,609,10,509,2000,4141,1
FLORA,1032,5500,2253,3,704,10,521,50,629,20,905,2000,748,1,4080,1
FRILLDORA,1012,5500,757,90,903,1500,721,15,715,200,501,800,912,120,4088,1
GHOSTRING,1059,5000,2274,100,2336,50,604,500,603,10,714,30,512,0,4047,1
GIEARTH,997,30,1003,150,1040,5500,2286,1,2227,10,1001,100,512,0,4087,1
GOBLIN_1,998,270,911,1200,756,43,2297,3,1211,10,2104,5,501,800,4060,1
GOBLIN_2,998,250,911,1000,5010,3,1511,10,2104,1,501,550,508,120,4060,1
GOBLIN_3,998,230,911,1000,2275,3,512,0,2104,1,501,550,508,120,4060,1
GOBLIN_4,993,100,998,170,911,800,2263,3,1508,10,2104,1,501,500,4060,1
GOBLIN_5,998,150,911,800,1605,15,2104,1,508,100,501,500,508,120,4060,1
HODE,993,120,1055,5500,757,70,938,3000,1001,30,7021,1,632,20,4081,2
HORN,993,80,1011,35,947,5500,1452,15,935,5500,943,70,512,0,4045,1
HORONG,953,6500,912,500,2279,5,1752,10000,757,118,633,20,970,50,4103,1
JAKK,1062,5500,912,900,985,31,2331,5,1008,5,535,1000,512,0,4109,2
JOKER,912,2000,616,2,641,20,502,1000,1259,1,984,100,512,0,4139,1
KHALITZBURG,932,8000,985,191,5017,1,2108,2,1004,10,504,1000,1127,2,4136,1
KOBOLD_1,999,80,1034,5500,912,700,985,25,1220,2,2104,5,512,0,4091,1
KOBOLD_2,999,70,1034,5500,912,200,2104,3,502,100,2101,100,512,0,4091,1
KOBOLD_3,990,35,999,60,1034,5500,912,200,512,0,2104,3,502,100,4091,1
KOBOLD_4,999,50,1034,5500,912,100,1355,5,2104,3,502,100,1301,150,4091,1
KOBOLD_5,999,40,1034,5500,912,100,1514,5,2104,3,502,100,1501,150,4091,1
MAGNOLIA,7031,5500,910,800,911,100,912,10,737,20,512,0,512,0,4076,1
MANTIS,993,110,1031,5500,911,1400,757,70,943,250,721,10,501,650,4079,1
MARDUK,994,35,1045,4500,1608,10,2617,1,1614,3,1006,8,642,20,4112,1
MARINA,1052,5000,938,1500,991,45,995,2,717,200,631,20,512,0,4055,1
MARINE_SPHERE,1050,5500,1051,500,1520,10,720,10,717,150,10003,10,512,0,4084,3
MARIONETTE,1060,5500,2294,2,2605,1,1008,10,1019,300,2407,1,656,200,4113,1
MARSE,1024,5500,962,3000,717,200,720,10,995,12,1007,5,656,200,4095,2
MARTIN,1017,6500,1018,500,1251,10,2225,5,5009,1,10010,10,512,0,4046,2
MATYR,2618,10,528,5000,919,5500,537,400,757,100,656,200,512,0,4097,1
MAYA,10006,500,2615,200,2234,200,639,500,7020,10,985,3500,984,2500,4146,1
MEDUSA,1047,5500,1048,200,1715,2,1007,10,504,150,512,0,512,0,4124,1
MINOROUS,941,5500,756,196,1361,2,1005,10,516,1500,1301,200,657,150,4126,1
MOONLIGHT,5008,1000,638,650,1525,150,985,2600,1234,100,10008,500,984,1900,4131,1
MYST,5056,2,1019,800,10005,10,756,65,757,97,512,0,512,0,4108,2
ORC_SKELETON,922,5500,932,3500,757,80,2299,2,1358,10,506,50,512,0,4085,1
ORC_ZOMBIE,1043,5500,938,3000,714,1,512,0,512,0,512,0,512,0,4071,2
PASANA,1217,151,1104,501,7110,4500,7121,2500,757,21,4099,11,0,0,0,0
PETIT,1035,5500,1037,300,756,140,509,1000,1510,150,912,1500,512,0,4118,1
PETIT_,1036,5500,1037,300,985,61,509,1000,602,500,912,1500,512,0,4120,1
PHARAOH,2231,500,1552,300,1136,100,2327,150,7114,2500,,6000,984,4500,4148,1
PHEN,1023,5500,963,2000,720,5,517,1000,951,500,756,25,512,0,4077,1
PHREEONI,1015,10000,1223,500,2288,300,1014,5000,1236,150,985,2900,984,2100,4121,1
PIERE,955,5700,910,1100,938,600,992,15,1001,5,1002,500,757,31,4043,1
PLANKTON,1052,5500,910,300,938,700,970,2,713,1000,630,20,645,50,4024,1
RAFFLESIA,1033,5500,911,1600,706,2,708,10,703,10,711,550,509,30,4083,1
RAYDRIC,985,106,2266,1,2315,2,1158,2,1116,100,1004,10,7054,5500,4133,1
REQUIEM,603,35,714,1,912,2500,958,3500,934,1500,2308,10,512,0,4104,1
SAND_MAN,997,35,1056,5500,757,118,1003,200,1001,200,1257,1,512,0,4101,1
SAVAGE,1028,5500,656,150,702,2,2276,1,605,10,757,70,512,0,4078,1
SAVAGE_BABE,919,5500,1302,100,517,500,1750,1000,949,850,1010,80,627,20,4017,1
SCORPION_KING,994,45,1046,5500,1005,15,904,5000,943,3000,504,700,512,0,4130,1
SKEL_WORKER,998,400,1041,5500,757,90,5009,2,999,100,1003,200,512,0,4092,1
SOHEE,1020,5500,1049,50,2277,1,2504,5,1217,5,501,1000,512,0,4100,1
SOLDIER_ANDRE,1014,2700,911,800,757,10,1111,15,1001,30,943,150,512,0,4059,1
SOLDIER_DENIRO,1014,5500,911,2000,757,15,1111,20,943,270,1001,50,512,0,4059,1
SOLDIER_PIERE,1014,3100,911,800,911,10,1114,15,1001,35,943,200,512,0,4059,1
STAINER,992,60,1011,30,1013,5500,910,2100,757,25,943,10,1002,400,4039,1
TAROU,1016,5500,919,3000,949,800,528,1000,701,1,512,0,512,0,4028,5
VITATA,993,90,955,5000,911,200,518,350,518,350,526,200,756,26,4053,1
ZENORC,1044,5500,756,70,938,2500,1006,5,503,50,640,20,512,0,4096,1
ZEROM,1011,55,998,190,2339,200,2265,3,2408,10,1002,400,1002,400,4064,1
WHISPER,1001,150,1059,5500,2282,1,2333,10,512,0,512,0,512,0,4102,1
NINE_TAIL,1022,5500,919,7000,603,100,604,100,512,0,512,0,512,0,512,0
ZOMBIE_DRAGON,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0
THIEF_MUSHROOM,1069,1500,1070,3000,512,0,512,0,512,0,512,0,512,0,512,0
CHONCHON_,998,50,935,5500,909,1500,1205,55,601,100,742,5,512,0,4009,5
FABRE_,914,2000,949,250,1502,80,721,2,511,350,705,500,1501,200,4002,0
WHISPER_,1001,10,1059,100,2282,0,2333,1,512,0,512,0,512,0,4102,0
WHISPER_BOSS,1001,150,1059,5500,2282,1,2333,10,512,0,512,0,512,0,4102,1
SWITCH,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0
BON_GUN,1094,5500,7014,40,618,60,2337,2,609,15,508,1000,512,0,512,0
ORC_ARCHER,1063,5500,1753,1000,1756,2500,1755,2500,1716,2,501,1400,509,900,512,0
ORC_LORD,1363,200,2601,500,5007,150,2627,1000,512,0,985,4400,984,3100,512,0
MIMIC,617,5,603,45,1065,1200,611,3000,714,3,2626,1,757,270,512,0
WRAITH,1059,6500,2206,10,2506,2,716,650,602,1300,512,0,512,0,512,0
ALARM,1095,5500,2607,20,7005,1500,611,1300,984,105,7026,16,512,0,512,0
ARCLOUSE,1096,3500,938,3000,943,800,912,450,716,300,997,20,512,0,512,0
RIDEWORD,1097,5500,1553,4,1554,4,1555,3,1556,2,7015,300,1006,20,512,0
SKEL_PRISONER,1098,3500,7016,100,2320,1,716,600,930,3500,2408,35,512,0,512,0
ZOMBIE_PRISONER,1099,3500,7016,105,2266,1,716,600,930,3500,2408,39,985,112,512,0
DARK_PRIEST,1557,2,2608,30,505,100,716,450,1009,50,512,0,512,0,512,0
PUNK,7001,5500,715,800,1001,300,1061,1000,1057,3000,601,1100,10004,10,512,0
ZEALOTUS,7017,5,504,800,512,0,512,0,2622,1,984,134,512,0,512,0
RYBIO,1015,4000,7017,3,504,800,731,30,1008,10,984,100,512,0,512,0
PHENDARK,1015,4000,7017,4,504,800,512,0,984,105,512,0,512,0,512,0
MYSTELTAINN,7019,1,1117,100,1152,70,1155,40,1163,2,999,120,984,243,512,0
TIRFING,7022,1,638,50,1211,100,1214,70,1217,40,999,120,984,189,512,0
EXECUTIONER,7024,5,1108,100,1111,80,1114,60,1125,40,999,120,984,145,512,0
ANOLIAN,7003,5500,1754,2000,504,650,10019,10,938,7000,2625,1,984,134,512,0
STING,7004,5500,1756,1500,2624,1,1003,130,997,25,10007,10,512,0,512,0
WANDERER,7005,5500,616,1,1164,1,2270,5,610,650,984,217,512,0,512,0
CRAMP,7007,5500,528,1000,726,80,746,110,657,150,510,70,984,95,4028,2
FILAMENTOUS,7008,5500,947,8000,943,4000,993,200,1451,40,757,18,509,1600,4045,2
BRILIGHT,7009,5500,992,200,912,1200,602,1000,757,220,610,250,509,1600,4039,2
IRON_FIST,7010,5500,757,229,757,22,1002,850,999,180,998,300,512,0,4068,2
HIGH_ORC,7002,2500,1304,10,999,90,931,7500,912,1300,756,196,502,900,4066,1
CHOCO,7011,5500,942,7000,985,53,513,5000,634,20,532,1000,607,25,4051,2
STEM_WORM,7012,5500,509,1800,912,1200,756,115,997,5,1454,20,608,45,4034,5
PENOMENA,7013,5500,962,8000,938,7000,525,200,719,15,1258,1,716,550,4035,1
KNIGHT_OF_ABYSS,1064,5500,7023,5,2318,1,1410,25,1162,1,985,369,984,259,512,0
M_DESERT_WOLF,1253,5,7030,5500,2311,1,517,1200,920,2000,756,53,512,0,4082,1
M_SAVAGE,1028,6000,656,150,702,3,2276,2,605,15,757,70,512,0,4078,1
L_HIGH_ORC,7002,2500,1304,10,999,120,931,8000,912,1600,756,196,502,1100,4066,1
L_ORC,998,210,931,5500,756,40,2267,3,1352,10,1304,5,1301,100,4066,1
L_POISON_SPORE,921,8000,2221,20,511,650,510,55,972,35,512,0,512,0,4048,2
L_CHOCO,7011,5500,942,7000,508,1900,513,5000,2311,2,532,1000,607,25,4051,2
L_KOBOLD,999,90,1034,6000,912,750,985,25,1220,2,2104,5,512,0,4091,1
L_GOBLIN,998,270,911,1200,756,43,2297,3,1211,10,2104,5,501,800,4060,1
L_PHEN,1023,6000,963,2300,720,8,517,1100,951,550,756,25,512,0,4077,1
META_FABRE,914,6500,949,600,1502,80,721,8,511,750,705,1500,1501,200,4002,15
META_PUPA,1010,300,915,6000,938,700,2102,2,935,1300,938,700,1002,400,4003,7
META_CREAMY,924,6000,2322,10,518,180,602,200,2207,4,712,800,512,0,4040,3
META_PECOPECO_EGG,1010,120,935,1500,2102,2,501,450,501,450,713,2000,736,15,4007,2
CONCEIVE_PECOPECO,925,6000,2402,20,508,55,507,950,1604,100,512,0,512,0,4031,3
PROVOKE_YOYO,942,6000,513,2000,508,130,919,5500,753,7,512,0,512,0,4051,1
SMOKING_ORC,998,210,931,5500,756,40,2267,3,1352,10,1304,5,1301,100,4066,1
META_ANT_EGG,1010,135,935,2740,909,3000,938,750,713,2000,1002,320,512,0,4013,2
META_ANDRE,955,6000,910,3000,938,1000,935,3000,1001,6,1002,450,757,28,4043,1
META_PIERE,955,5700,910,1100,938,600,992,15,1001,5,1002,500,757,31,4043,1
META_DENIRO,955,6000,910,3000,938,1200,990,45,1001,8,1002,550,757,34,4043,1
META_PICKY,916,6500,949,850,2302,150,507,650,519,350,715,60,512,0,4008,2
META_PICKY_,916,6500,949,850,5015,7,507,750,519,350,715,60,512,0,4011,10
MARIN,910,3200,938,1500,991,40,720,40,510,75,529,350,512,0,4001,10
SASQUATCH,912,750,509,800,949,1000,2289,7,948,5000,727,30,757,90,4074,1
JAKK_XMAS,1062,5500,912,900,985,31,2331,5,1008,5,535,1000,2236,70,4109,2
GOBLINE_XMAS,998,270,911,1200,756,43,2297,3,1211,10,2104,5,2236,40,4060,1
COOKIE_XMAS,538,1500,722,45,912,200,2502,25,2501,120,507,1100,501,700,512,0
ANTONIO,7034,10000,644,200,538,1500,539,1000,529,5500,530,5500,2236,250,512,0
CRUISER,1098,900,2251,2,998,320,996,5,911,3500,719,35,756,87,512,0
MYSTCASE,1019,2000,912,1500,603,10,539,800,722,100,512,0,512,100,512,0
CHEPET,7035,1000,912,750,512,5500,619,40,10019,5,502,300,2508,5,512,0
STORMY_KNIGHT,1468,150,603,3000,617,4000,2621,200,2506,500,985,4700,984,3500,5007,1
GARM,7036,10000,1131,150,1256,500,985,4100,984,2900,512,0,512,0,512,0
GARGOYLE,912,4000,1039,500,512,0,512,0,2619,1,1769,2000,757,238,512,0
RAGGLER,7053,3000,916,5000,645,200,512,0,992,90,2225,7,756,32,512,0
NERAID,1055,5500,7053,1000,510,230,717,250,656,250,512,0,985,37,512,0
PEST,1055,5500,7054,200,702,10,605,60,716,230,512,0,756,115,512,0
INJUSTICE,999,120,7054,5500,512,0,512,0,512,0,512,0,1255,2,512,0
GOBLIN_ARCHER,2297,3,998,250,911,1000,1765,3000,501,600,1705,25,656,150,512,0
GRYPHON,7048,1000,7054,5500,512,0,512,0,512,0,984,185,996,150,512,0
DARK_FRAME,7054,5500,734,1000,512,0,512,0,512,0,1000,80,747,3,512,0
WILD_ROSE,7053,6000,512,0,512,0,1767,3000,624,35,528,600,2244,2,512,0
MUTANT_DRAGON,7054,5500,1035,500,1036,500,930,500,2627,30,512,0,512,0,512,0
WIND_GHOST,912,5000,932,6000,7005,500,512,0,1611,8,996,100,1615,1,512,0
MERMAN,1054,1300,523,300,657,200,720,40,995,35,1460,3,756,203,512,0
COOKIE,538,1000,1011,90,979,1,645,280,2402,30,1001,40,2502,20,512,0
ASTER,938,500,7013,40,1052,1200,508,200,912,60,512,100,512,0,512,0
CARAT,7054,3200,536,1000,2409,5,5003,1,512,0,512,0,504,450,512,0
BLOODY_KNIGHT,7054,5500,2229,45,2317,5,2106,65,1170,1,984,304,985,433,512,100
CLOCK,1095,5500,1019,800,504,900,657,220,512,0,7027,30,985,163,512,0
C_TOWER_MANAGER,1095,5500,7054,5500,999,500,512,0,512,0,7026,2000,7027,2000,512,0
ALLIGATOR,912,1000,1099,600,7003,2000,608,50,512,0,512,0,756,129,512,0
DARK_LORD,2609,140,5017,550,985,5300,984,4100,1615,800,1237,300,2334,300,2507,100
ORC_LADY,7053,5500,998,300,2602,1,756,40,1352,10,508,900,512,0,512,0
MEGALITH,912,100,7049,1000,617,1,512,0,512,0,985,61,757,207,512,0
ALICE,7047,500,637,40,2407,3,739,1,512,100,503,400,2215,5,5085,1
RAYDRIC_ARCHER,7054,5500,512,0,2315,2,1701,150,1764,2000,1715,3,985,106,1720,50
GREATEST_GENERAL,7054,2000,1019,2000,1501,100,512,0,2272,1,503,150,609,35,512,0
STALACTIC_GOLEM,7004,2000,7054,5500,1000,250,997,30,512,0,512,0,985,163,512,0
TRI_JOINT,7053,100,943,380,606,200,993,160,1001,140,512,0,757,106,512,0
GOBLIN_STEAMRIDER,911,2500,7053,4000,998,300,999,55,1003,320,1003,320,757,124,512,0
SAGE_WORM,912,1200,1097,1000,1055,3000,2241,5,505,40,512,100,5012,1,512,0
KOBOLD_ARCHER,912,100,999,60,1034,5000,512,0,1763,2000,1711,5,756,79,512,0
CHIMERA,7054,5500,1048,1000,657,500,512,0,504,560,1364,1,984,160,512,0
HUGELING,512,100,512,100,512,100,512,100,512,100,512,100,512,100,512,100
ARCHER_GUARDIAN,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0
KNIGHT_GUARDIAN,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0
SOLDIER_GUARDIAN,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0
EMPELIUM,512,0,512,0,512,0,512,0,512,0,512,0,512,0,512,0
MAYA_PUPLE,7053,4550,757,250,756,300,969,100,984,150,985,100,639,50,10006,1
SKELETON_GENERAL,7068,2550,756,160,503,800,1220,35,1219,80,1222,3,512,0,2274,1
WRAITH_DEAD,1059,4550,2206,10,2506,8,716,700,732,5,717,850,657,150,603,100
MINI_DEMON,1038,4550,1039,450,2255,6,757,160,912,2500,1009,10,1410,3,7054,2500
CREAMY_FEAR,924,4550,2333,10,518,550,602,200,1550,8,1611,8,522,50,7053,1800
KILLER_MANTIS,1031,4550,943,2500,721,10,504,5,656,25,2224,3,2108,1,7053,2500
OWL_BARON,7071,3500,7063,2500,1716,2,1472,1,1402,25,1514,10,5045,5,7054,2500
KOBOLD_LEADER,999,450,1034,6500,912,1200,1511,6,1613,2,525,150,526,100,7053,1500
ANCIENT_MUMMY,930,4550,934,1800,2624,1,2611,150,503,350,756,150,757,100,7053,2500
ZOMBIE_MASTER,7071,4550,938,1500,958,1500,724,200,727,100,1260,1,2324,2,2627,2
GOBLIN_LEADER,998,1200,999,800,756,120,2297,5,2106,2,503,650,2611,240,7054,1500
CATERPILLAR,949,3000,7054,5500,2227,20,1000,100,997,50,501,1000,502,500,505,12
AM_MUT,1021,4550,757,250,1517,3,969,5,2282,1,912,1200,746,250,616,1
DARK_ILLUSION,1615,3,5017,2,2508,3,7054,5500,522,120,504,550,1162,2,7053,2500
GIANT_HORNET,526,550,518,1200,522,12,610,15,1608,3,722,20,2627,1,516,3500
GIANT_SPIDER,1025,4550,1042,1200,757,140,525,450,943,1200,1096,680,7053,800,7054,800
ANCIENT_WORM,1042,4550,912,2500,2406,9,719,15,1096,680,938,3500,7054,2500,7053,2500
LEIB_OLMAI,948,4550,2289,8,740,120,518,500,526,0,969,5,7053,800,512,0
CAT_O_NINE_TAIL,5008,1,638,150,10008,5,985,600,984,800,969,6,617,1,7054,5500
PANZER_GOBLIN,7053,4550,7054,3500,999,180,998,360,1003,580,744,800,994,160,512,0
GAJOMART,953,6500,912,2300,503,870,2279,8,1752,10000,999,640,994,180,512,0
MAJORUROS,941,4550,1361,4,657,300,984,16,504,850,2611,160,2607,1,1000,250
GULLINBURSTI,1028,3500,656,290,702,6,2276,1,605,15,2627,1,912,160,512,0
TURTLE_GENERAL,1529,8,1306,5,512,0,1417,9,7070,5500,512,0,912,5500,658,1
MOBSTER,1239,3,2601,2,2621,1,716,600,912,2500,525,450,505,60,726,4700
