ID,Name,"Display name",LV,HP,SP,exp,jexp,aRan,atk1,atk2(atk1+atk2),def,mdef,str,agi,vit,int,dex,luk,Range2(as),Range3(es),scale,race,Element(property),mode,Mspeed,aDelay(rechargeTime),aMotion(attackMT),dMotion(attackedMT)
1106,DESERT_WOLF,"Desert Wolf",27,1716,0,427,266,1,169,208,0,10,1,27,45,15,56,15,10,12,1,2,23,13,200,1120,420,288
1107,BABY_DESERT_WOLF,"Desert Wolf Pup",9,164,0,20,16,1,30,36,0,0,1,9,9,5,21,5,10,12,0,2,23,9,300,1600,900,240
1108,DEVIACE,Deviace,47,19192,0,2105,1329,1,514,674,10,20,1,47,62,48,62,48,10,12,1,5,81,17,400,1680,480,384
1109,DEVIRUCHI,Deviruchi,46,7360,0,2662,1278,1,475,560,10,25,1,69,40,55,87,55,10,12,0,6,27,53,150,980,600,384
1110,DOKEBI,Dokebi,33,2697,0,889,455,1,197,249,0,10,1,50,40,35,69,35,10,12,0,6,27,17,250,1156,456,384
1111,DRAINLIAR,Drainliar,24,1162,0,431,176,1,74,84,0,0,1,36,24,1,78,1,10,12,0,2,47,21,250,1276,576,384
1112,DRAKE,Drake,70,326666,0,28600,22880,1,1800,2100,20,35,1,80,49,75,79,75,10,12,1,1,29,53,400,620,420,360
1113,DROPS,Drops,3,55,0,4,3,1,10,13,0,0,1,3,3,1,12,1,10,12,1,3,23,3,400,1372,672,480
1114,DUSTINESS,Dustiness,21,1044,0,218,140,1,80,102,0,10,1,53,17,1,38,1,10,12,0,4,44,17,150,1004,504,384
1115,EDDGA,Eddga,65,152000,0,25025,12870,1,1215,1565,15,15,1,70,85,66,90,66,10,12,2,2,23,53,300,872,1344,432
1116,EGGYRA,Eggyra,24,633,0,215,220,1,85,107,20,25,1,36,24,1,32,1,10,12,1,0,48,17,200,1816,816,288
1117,EVIL_DRUID,"Evil Druid",58,16506,0,2890,1827,1,420,670,5,60,1,29,58,80,68,80,10,12,2,1,89,53,300,2276,576,336
1118,FLORA,Flora,26,2092,0,357,226,3,242,273,10,35,1,26,35,5,43,5,10,12,2,3,22,4,1000,1432,432,576
1119,FRILLDORA,Frilldora,30,2023,0,529,319,1,200,239,0,10,1,30,38,15,53,15,10,12,1,2,23,21,300,1540,720,432
1120,GHOSTRING,Ghostring,18,73300,0,101,108,1,82,122,0,60,1,27,18,45,72,45,10,12,1,6,88,53,300,1220,1080,648
1121,GIEARTH,Giearth,29,2252,0,495,301,1,154,185,10,50,1,29,46,60,64,60,10,12,0,6,22,17,200,1848,1296,432
1122,GOBLIN_1,Goblin,25,1176,0,310,188,1,118,140,10,5,1,53,25,20,38,20,10,12,1,7,24,53,100,1120,620,240
1123,GOBLIN_2,Goblin,24,1034,0,287,176,1,88,100,10,5,1,24,24,15,66,15,10,12,1,7,23,21,150,1320,620,240
1124,GOBLIN_3,Goblin,24,1034,0,357,176,1,132,165,10,5,1,24,24,15,24,15,10,12,1,7,25,13,250,1624,624,240
1125,GOBLIN_4,Goblin,23,1359,0,264,164,1,109,131,10,5,1,23,46,15,36,15,10,12,1,7,22,13,200,1624,624,240
1126,GOBLIN_5,Goblin,22,1952,0,241,152,1,105,127,10,5,1,22,22,15,32,15,10,12,1,7,21,13,300,3074,1874,480
1127,HODE,Hode,26,2282,0,393,248,1,146,177,0,30,1,26,42,5,49,5,10,12,1,2,42,1,200,1480,480,720
1128,HORN,Horn,18,659,0,134,86,1,58,69,10,0,1,18,28,10,47,10,10,12,1,4,22,17,200,1528,528,288
1129,HORONG,Horong,34,1939,0,786,479,1,275,327,99,50,1,34,10,1,50,1,10,12,0,0,83,13,400,1888,1152,828
1130,JAKK,Jakk,38,3581,0,1113,688,1,315,382,5,30,1,38,38,43,75,43,10,12,1,0,43,53,200,1180,480,648
1131,JOKER,Joker,57,12450,0,3706,2362,1,621,738,10,35,1,143,47,75,98,75,10,12,2,7,84,53,100,1364,864,432
1132,KHALITZBURG,Khalitzburg,63,19276,0,4378,2750,1,875,1025,45,10,1,65,48,5,73,5,10,12,2,1,29,53,350,528,1000,396
1133,KOBOLD_1,Kobold,36,3893,0,988,625,1,265,318,15,10,1,90,36,30,52,30,10,12,1,7,44,13,150,1028,528,360
1134,KOBOLD_2,Kobold,31,2179,0,806,407,1,262,324,15,10,1,31,31,20,46,20,10,12,1,7,45,13,200,1528,528,360
1135,KOBOLD_3,Kobold,31,2179,0,644,407,1,186,216,15,10,1,31,31,20,88,20,10,12,1,7,43,13,300,1228,528,360
1136,KOBOLD_4,Kobold,30,3503,0,481,290,1,168,199,15,10,1,30,30,20,50,20,10,12,1,7,41,13,200,2200,1000,500
1137,KOBOLD_5,Kobold,30,2462,0,481,290,1,168,199,15,10,1,30,60,20,45,20,10,12,1,7,42,13,200,2000,1000,500
1138,MAGNOLIA,Magnolia,26,3195,0,393,248,1,120,151,5,30,1,26,26,0,39,0,10,12,0,6,21,3,250,1560,360,360
1139,MANTIS,Mantis,26,2472,0,393,248,1,118,149,10,0,1,26,24,5,45,5,10,12,1,4,22,21,200,1528,660,432
1140,MARDUK,Marduk,40,4214,0,1238,752,1,315,382,0,60,1,40,20,79,78,79,10,12,2,7,23,21,300,1540,840,504
1141,MARINA,Marina,21,2087,0,218,140,1,84,106,0,5,1,21,21,1,36,1,10,12,0,3,41,1,400,2280,1080,864
1142,MARINE_SPHERE,"Marine Sphere",28,3518,0,461,284,1,120,320,0,40,1,28,28,1,33,1,10,12,0,3,21,0,800,1201,1,1
1143,MARIONETTE,Marionette,41,3222,0,1078,1276,1,355,422,0,25,1,62,36,44,69,44,10,12,0,6,68,21,300,1480,480,1056
1144,MARSE,Marse,31,5034,0,586,370,1,211,252,0,5,1,31,25,5,52,5,10,12,0,5,41,17,300,1956,756,528
1145,MARTIN,Martin,18,1109,0,134,86,1,52,63,0,5,1,18,30,15,15,15,10,12,0,2,42,1,300,1480,480,480
1146,MATYR,Matyr,31,2585,0,967,407,1,134,160,0,0,1,47,38,5,64,5,10,12,1,2,27,21,150,432,432,360
1147,MAYA,Maya,81,169000,0,42900,17875,1,1800,2070,60,25,1,97,76,95,82,95,10,12,2,4,82,53,100,864,1000,480
1148,MEDUSA,Medusa,79,22408,0,6876,4697,1,827,1100,48,38,1,74,50,57,77,57,10,12,1,6,40,53,200,2000,1000,500
1149,MINOROUS,Minorous,52,7431,0,2750,1459,1,590,770,15,5,1,42,61,66,52,66,10,12,2,2,43,21,200,1360,960,432
1150,MOONLIGHT,"Moonlight Flower",67,120000,0,27500,14300,1,1200,1700,10,55,1,99,55,82,95,82,10,10,1,6,63,53,150,1276,576,288
1151,MYST,Myst,38,3745,0,1391,688,1,365,445,0,40,1,38,18,1,53,1,10,12,2,0,25,53,200,1576,576,384
1152,ORC_SKELETON,"Orc Skeleton",28,2278,0,315,194,1,190,236,10,10,1,14,18,1,30,1,10,12,1,1,29,5,200,2420,720,648
1153,ORC_ZOMBIE,"Orc Zombie",24,1568,0,196,120,1,151,184,5,10,1,12,24,1,24,1,10,12,1,1,29,5,400,2852,1152,840
1154,PASANA,Pasana,61,8289,0,4087,2135,1,513,682,29,35,1,73,50,61,69,61,10,12,1,7,43,21,200,1700,1000,500
1155,PETIT,Petit,44,6881,0,1677,1034,1,360,427,30,30,1,44,62,69,79,69,10,12,1,9,22,21,200,1624,620,384
1156,PETIT_,Petit,45,5747,0,1758,1075,1,300,355,20,45,1,113,45,69,73,69,10,12,1,9,24,21,150,1420,1080,528
1157,PHARAOH,Pharaoh,93,445997,0,114990,41899,1,2267,3015,67,70,1,93,100,104,89,104,10,12,2,7,67,53,100,2000,1000,500
1158,PHEN,Phen,26,3347,0,357,226,1,138,150,0,15,1,26,26,1,88,1,10,12,1,5,41,17,150,2544,1344,1152
1159,PHREEONI,Phreeoni,69,188000,0,32175,16445,1,880,1530,10,20,1,85,78,35,130,35,10,10,2,2,60,53,200,1020,1020,288
1160,PIERE,Piere,18,733,0,122,78,1,64,75,15,0,1,18,26,20,27,20,10,12,0,4,22,11,200,1288,288,576
1161,PLANKTON,Plankton,10,354,0,23,18,1,26,31,0,5,1,10,10,1,15,1,10,12,0,3,61,1,400,2208,1008,324
1162,RAFFLESIA,Rafflesia,27,1950,0,388,242,1,105,120,20,10,1,27,54,1,76,1,1,1,0,3,22,5,1,100,1,1
1163,RAYDRIC,Raydric,52,8613,0,3410,1795,1,830,930,40,15,1,47,42,5,69,5,10,12,2,7,47,21,150,824,780,420
1164,REQUIEM,Requiem,35,3089,0,800,458,1,220,272,0,15,1,53,35,5,57,5,10,12,1,7,27,5,400,1516,816,432
1165,SAND_MAN,"Sand Man",34,3413,0,810,492,1,180,205,10,25,1,34,58,38,60,38,10,12,1,0,62,5,250,1672,720,288
1166,SAVAGE,Savage,26,2092,0,357,226,1,120,150,10,5,1,26,54,10,37,10,10,12,2,2,42,17,150,1960,960,384
1167,SAVAGE_BABE,"Savage Babe",7,182,0,14,12,1,20,25,0,0,1,7,14,5,12,5,10,12,0,2,22,1,400,1624,624,576
1168,SCORPION_KING,"Scorpion King",50,6354,0,2187,1346,1,500,603,40,10,1,50,47,1,83,1,10,12,2,7,23,17,200,1700,1000,500
1169,SKEL_WORKER,"Skel Worker",30,2872,0,397,240,1,242,288,0,15,1,15,30,5,42,5,10,12,1,1,29,5,400,2420,720,384
1170,SOHEE,Sohee,33,5628,0,739,455,1,210,251,0,10,1,33,33,10,58,10,10,12,1,6,21,17,300,2112,912,576
1171,SOLDIER_ANDRE,"Soldier Andre",22,1245,0,219,138,1,105,127,20,0,1,22,44,20,40,20,10,12,0,4,42,21,200,1001,1,1
1172,SOLDIER_DENIRO,"Soldier Deniro",29,2047,0,450,274,1,162,193,20,0,1,29,58,20,54,20,10,12,0,4,42,21,200,2000,1000,500
1173,SOLDIER_PIERE,"Soldier Piere",23,1217,0,240,149,1,109,131,25,0,1,23,46,20,38,20,10,12,0,4,42,21,200,1001,1,1
1174,STAINER,Stainer,16,538,0,105,70,1,53,64,10,0,1,40,16,5,30,5,10,12,0,4,24,17,200,1688,1188,612
1175,TAROU,Tarou,11,284,0,57,28,1,34,45,0,0,1,20,11,10,24,10,10,12,0,2,27,17,150,1744,1044,684
1176,VITATA,Vitata,20,894,0,163,101,1,69,80,15,20,1,20,25,65,40,65,10,12,0,4,22,17,300,1768,768,384
1177,ZENORC,Zenorc,31,2585,0,967,407,1,188,223,0,15,1,77,15,1,76,1,10,12,1,7,27,3,150,1180,480,360
1178,ZEROM,Zerom,23,1109,0,240,149,1,127,155,0,10,1,23,23,5,42,5,10,12,1,7,23,5,200,1780,1080,432
1179,WHISPER,Whisper,34,1796,0,591,599,1,180,221,0,45,1,51,14,1,60,1,10,12,0,6,68,21,150,1960,960,504
1180,NINE_TAIL,"Nine Tail",51,9466,0,1650,825,1,610,734,10,25,1,80,46,1,89,1,10,12,1,2,63,53,150,840,540,480
1181,ZOMBIE_DRAGON,"Zombie Dragon",1,1000,0,49500,1650,9,7900,9140,0,0,1,145,145,145,130,145,10,12,2,9,89,53,400,2700,1000,500
1182,THIEF_MUSHROOM,"Thief Mushroom",1,15,0,0,0,0,1,2,100,99,1,1,1,1,1,1,7,12,0,3,22,0,2000,1,1,1
1183,CHONCHON_,Chonchon,4,67,0,5,4,1,10,13,10,0,1,10,4,5,12,2,10,12,0,4,24,21,200,1076,576,480
1184,FABRE_,Fabre,1,30,0,1,0,1,4,7,0,0,1,2,1,1,4,5,10,12,0,4,22,5,400,1672,672,480
1185,WHISPER_,Whisper,34,1796,0,537,545,1,198,239,0,45,1,51,14,1,60,1,10,12,0,1,28,0,150,1960,960,504
1186,WHISPER_BOSS,"Whisper Boss",34,5040,0,537,545,1,198,239,0,45,1,51,14,1,60,1,10,12,0,6,48,53,250,2536,1536,672
1187,SWITCH,Switch,1,2,0,1,1,1,1,2,0,0,1,1,1,0,1,0,1,12,1,0,20,0,1,1,1,1
1188,BON_GUN,Bongun,32,3520,0,424,242,1,220,260,0,0,1,15,36,10,48,10,10,12,1,1,29,5,200,1720,500,420
1189,ORC_ARCHER,"Orc Archer",49,7440,0,1729,1787,9,310,390,10,5,1,44,25,20,125,20,10,12,1,7,22,21,300,1960,620,480
1190,ORC_LORD,"Orc Lord",74,393000,0,62205,8580,1,2700,3150,40,5,1,82,149,70,110,70,10,12,2,7,82,53,100,1248,500,360
1191,MIMIC,Mimic,51,6120,0,165,165,1,150,900,10,40,1,121,1,60,75,60,10,12,1,0,60,21,100,972,500,288
1192,WRAITH,Wraith,53,10999,0,2199,1099,1,580,760,5,30,1,95,30,75,95,75,10,12,2,1,89,53,300,1816,576,240
