//NAME,STATE,SKILL_ID,SKILL_LV,PERCENT,CASTINT_TIME,COOL_DOWN,DISPELL,IF_CASE,IF_VALUE
BAPHOMET_,BERSERK_ST,NPC_HALLUCINATION,1,50,500,5000,0,0,0
BAPHOMET_,RUSH_ST,NPC_HALLUCINATION,1,50,500,5000,0,0,0
BAPHOMET_,BERSERK_ST,SA_DISPELL,1,0,0,30000,0,0,0
BATHORY,BERSERK_ST,NPC_CURSEATTACK,3,50,800,5000,NO_DISPEL,0,0
BATHORY,RUSH_ST,NPC_EMOTION,1,200,0,5000,0,0,0
BATHORY,BERSERK_ST,NPC_ENERGYDRAIN,1,50,0,5000,0,0,0
BATHORY,RUSH_ST,NPC_ENERGYDRAIN,1,50,0,5000,0,0,0
BATHORY,BERSERK_ST,NPC_SILENCEATTACK,3,50,700,5000,NO_DISPEL,0,0
BIGFOOT,RUSH_ST,NPC_EMOTION,1,200,0,5000,0,0,0
BIGFOOT,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
BIGFOOT,BERSERK_ST,NPC_GROUNDATTACK,1,200,0,5000,0,0,0
BIGFOOT,BERSERK_ST,NPC_STUNATTACK,2,50,1500,5000,NO_DISPEL,0,0
BIGFOOT,RUSH_ST,SM_ENDURE,1,500,0,10000,0,IF_RANGEATTACKED,0
BLAZZER,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
BLAZZER,RUSH_ST,MG_FIREBALL,9,200,0,5000,0,0,0
BLAZZER,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
BLAZZER,BERSERK_ST,NPC_FIREATTACK,3,50,500,5000,NO_DISPEL,0,0
BLAZZER,BERSERK_ST,WZ_SIGHTRASHER,5,50,1000,5000,NO_DISPEL,0,0
BLOOD_BUTTERFLY,BERSERK_ST,KN_PIERCE,10,50,700,5000,NO_DISPEL,0,0
BLOOD_BUTTERFLY,BERSERK_ST,NPC_SLEEPATTACK,5,50,0,5000,0,0,0
BLOOD_BUTTERFLY,RUSH_ST,NPC_SLEEPATTACK,5,50,0,5000,0,0,0
BLOODY_KNIGHT,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
BLOODY_KNIGHT,BERSERK_ST,CR_SHIELDCHARGE,5,50,0,5000,0,0,0
BLOODY_KNIGHT,BERSERK_ST,KN_BRANDISHSPEAR,5,50,1000,5000,NO_DISPEL,0,0
BLOODY_KNIGHT,BERSERK_ST,NPC_CHANGEFIRE,1,1000,2000,600000,NO_DISPEL,IF_HP,20
BLOODY_KNIGHT,BERSERK_ST,NPC_DARKNESSATTACK,2,50,500,5000,NO_DISPEL,0,0
BLOODY_KNIGHT,BERSERK_ST,WZ_METEOR,5,200,1500,5000,NO_DISPEL,IF_HP,20
BLOODY_KNIGHT,RUSH_ST,WZ_METEOR,5,200,1500,5000,NO_DISPEL,IF_HP,20
BLOODY_MURDERER,BERSERK_ST,AS_SONICBLOW,5,50,800,5000,NO_DISPEL,0,0
BLOODY_MURDERER,BERSERK_ST,NPC_CURSEATTACK,3,50,800,5000,NO_DISPEL,0,0
BON_GUN,BERSERK_ST,KN_SPEARSTAB,5,50,800,5000,NO_DISPEL,0,0
BON_GUN,BERSERK_ST,NPC_STUNATTACK,3,50,1500,5000,NO_DISPEL,0,0
BRILIGHT,BERSERK_ST,NPC_FIREATTACK,2,50,500,5000,NO_DISPEL,0,0
BRILIGHT,BERSERK_ST,NPC_KEEPING,1,200,0,5000,0,IF_HP,20
BRILIGHT,BERSERK_ST,NPC_PIERCINGATT,2,50,0,5000,0,0,0
BRILIGHT,BERSERK_ST,NPC_SILENCEATTACK,3,50,700,5000,NO_DISPEL,0,0
C_TOWER_MANAGER,IDLE_ST,AL_TELEPORT,1,50,0,5000,0,0,0
C_TOWER_MANAGER,IDLE_ST,NPC_EMOTION,1,20,0,30000,0,0,0
C_TOWER_MANAGER,BERSERK_ST,NPC_SILENCEATTACK,5,50,700,5000,NO_DISPEL,0,0
C_TOWER_MANAGER,RUSH_ST,NPC_SILENCEATTACK,5,50,700,5000,NO_DISPEL,0,0
C_TOWER_MANAGER,BERSERK_ST,NPC_SLEEPATTACK,5,50,0,5000,0,0,0
C_TOWER_MANAGER,RUSH_ST,NPC_SLEEPATTACK,5,50,0,5000,0,0,0
C_TOWER_MANAGER,BERSERK_ST,SA_DISPELL,1,50,0,30000,0,0,0
C_TOWER_MANAGER,IDLE_ST,WZ_FIREPILLAR,5,50,0,5000,0,0,0
CARAMEL,BERSERK_ST,NPC_GROUNDATTACK,1,200,0,5000,0,0,0
CARAMEL,BERSERK_ST,NPC_PIERCINGATT,5,50,0,5000,0,0,0
CARAT,IDLE_ST,AL_TELEPORT,1,50,0,5000,0,0,0
CARAT,BERSERK_ST,AL_TELEPORT,1,50,0,5000,0,IF_HP,30
CARAT,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
CARAT,RMOVE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
CARAT,RUSH_ST,NPC_HALLUCINATION,1,50,500,5000,0,0,0
CARAT,BERSERK_ST,NPC_WINDATTACK,1,200,0,5000,0,0,0
CARAT,BERSERK_ST,SA_REVERSEORCISH,1,5,0,30000,0,0,0
CARAT,RUSH_ST,SA_REVERSEORCISH,1,5,0,30000,0,0,0
CARAT,RUSH_ST,SM_PROVOKE,10,200,600,5000,NO_DISPEL,0,0
CAT_O_NINE_TAIL,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
CAT_O_NINE_TAIL,BERSERK_ST,MC_MAMMONITE,9,50,800,5000,NO_DISPEL,0,0
CAT_O_NINE_TAIL,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
CAT_O_NINE_TAIL,BERSERK_ST,NPC_GUIDEDATTACK,2,50,1000,20000,NO_DISPEL,0,0
CAT_O_NINE_TAIL,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
CATERPILLAR,BERSERK_ST,NPC_PETRIFYATTACK,5,50,500,5000,NO_DISPEL,0,0
CATERPILLAR,BERSERK_ST,NPC_POISON,5,50,800,5000,NO_DISPEL,0,0
CATERPILLAR,BERSERK_ST,NPC_SILENCEATTACK,3,50,700,5000,NO_DISPEL,0,0
CHEPET,BERSERK_ST,AL_HEAL,9,1000,500,5000,0,IF_COMRADEHP,60
CHEPET,RUSH_ST,AL_HEAL,9,1000,500,5000,0,IF_COMRADEHP,60
CHEPET,BERSERK_ST,AL_HEAL,9,1000,500,5000,0,IF_HP,30
CHEPET,RUSH_ST,AL_HEAL,9,1000,500,5000,0,IF_HP,30
CHEPET,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
CHEPET,BERSERK_ST,AM_DEMONSTRATION,5,50,500,5000,NO_DISPEL,0,0
CHEPET,RUSH_ST,AM_DEMONSTRATION,5,50,500,5000,NO_DISPEL,0,0
CHEPET,BERSERK_ST,NPC_EMOTION,1,200,0,5000,0,0,0
CHEPET,BERSERK_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
CHEPET,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
CHEPET,IDLE_ST,WZ_FIREPILLAR,5,50,0,5000,0,0,0
CHIMERA,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
CHIMERA,RUSH_ST,CR_AUTOGUARD,5,200,0,300000,0,IF_RANGEATTACKED,0
CHIMERA,BERSERK_ST,CR_AUTOGUARD,5,50,0,300000,0,0,0
CHIMERA,BERSERK_ST,NPC_FIREATTACK,3,50,500,5000,NO_DISPEL,0,0
CHIMERA,BERSERK_ST,NPC_SPLASHATTACK,1,200,0,5000,0,IF_ENEMYCOUNT,2
CHIMERA,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
CHIMERA,BERSERK_ST,WZ_HEAVENDRIVE,5,50,1200,5000,0,0,0
CHIMERA,RUSH_ST,WZ_HEAVENDRIVE,5,50,1200,5000,0,0,0
CHOCO,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
CHOCO,IDLE_ST,AM_POTIONPITCHER,1,50,1500,5000,0,0,0
CHOCO,IDLE_ST,HT_SKIDTRAP,5,50,0,5000,0,0,0
CHOCO,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
CHOCO,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
CHOCO,BERSERK_ST,NPC_FIREATTACK,1,200,0,5000,0,0,0
CHOCO,BERSERK_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
CHOCO,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
CHOCO,RUSH_ST,SM_PROVOKE,10,50,600,5000,0,0,0
CHOCO,RUSH_ST,TF_THROWSTONE,1,200,0,5000,0,0,0
CHONCHON,BERSERK_ST,NPC_WINDATTACK,1,200,0,5000,0,0,0
CLOCK,BERSERK_ST,NPC_CURSEATTACK,3,50,800,5000,NO_DISPEL,0,0
CLOCK,IDLE_ST,NPC_EMOTION,1,20,0,30000,0,0,0
CLOCK,BERSERK_ST,NPC_GROUNDATTACK,3,50,500,5000,NO_DISPEL,0,0
CLOCK,BERSERK_ST,NPC_STUNATTACK,3,50,1500,5000,NO_DISPEL,0,0
COCO,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
COCO,BERSERK_ST,NPC_GROUNDATTACK,1,200,0,5000,0,0,0
COCO,RUSH_ST,TF_THROWSTONE,1,200,0,5000,0,0,0
CONDOR,BERSERK_ST,BS_ADRENALINE,1,50,1500,300000,0,0,0
CONDOR,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
CONDOR,BERSERK_ST,NPC_WINDATTACK,3,50,500,5000,NO_DISPEL,0,0
COOKIE,BERSERK_ST,AL_HEAL,5,1000,500,5000,0,IF_COMRADEHP,60
COOKIE,IDLE_ST,AL_HEAL,5,1000,500,5000,0,IF_COMRADEHP,60
COOKIE,RUSH_ST,AL_HEAL,5,1000,500,5000,0,IF_COMRADEHP,60
COOKIE,BERSERK_ST,AL_HEAL,5,1000,500,5000,0,IF_HP,30
COOKIE,IDLE_ST,AL_HEAL,5,1000,500,5000,0,IF_HP,30
COOKIE,RUSH_ST,AL_HEAL,5,1000,500,5000,0,IF_HP,30
COOKIE,RMOVE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
COOKIE,BERSERK_ST,NPC_TELEKINESISATTACK,5,50,0,5000,0,0,0
COOKIE,RUSH_ST,NPC_TELEKINESISATTACK,5,50,0,5000,0,0,0
COOKIE_XMAS,BERSERK_ST,MG_COLDBOLT,3,50,1500,5000,0,0,0
COOKIE_XMAS,RUSH_ST,MG_COLDBOLT,3,50,1500,5000,0,0,0
COOKIE_XMAS,RMOVE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
COOKIE_XMAS,BERSERK_ST,NPC_HOLYATTACK,1,200,0,5000,0,0,0
COOKIE_XMAS,BERSERK_ST,SA_REVERSEORCISH,1,5,0,30000,0,0,0
COOKIE_XMAS,RUSH_ST,SA_REVERSEORCISH,1,5,0,30000,0,0,0
CORNUTUS,RUSH_ST,CR_AUTOGUARD,2,200,0,300000,0,IF_RANGEATTACKED,0
CORNUTUS,BERSERK_ST,CR_AUTOGUARD,2,50,0,300000,0,0,0
CORNUTUS,BERSERK_ST,NPC_KEEPING,1,200,0,5000,0,IF_HP,30
CORNUTUS,BERSERK_ST,NPC_WATERATTACK,2,50,500,5000,NO_DISPEL,0,0
CRAB,BERSERK_ST,NPC_WATERATTACK,1,200,0,5000,0,0,0
CRAMP,BERSERK_ST,NPC_POISON,3,50,800,5000,NO_DISPEL,0,0
CRAMP,BERSERK_ST,NPC_POISONATTACK,1,200,0,5000,0,0,0
CREAMY,BERSERK_ST,AL_TELEPORT,1,50,0,5000,0,IF_HP,30
CREAMY,IDLE_ST,AL_TELEPORT,1,50,0,5000,0,0,0
CREAMY,BERSERK_ST,NPC_SLEEPATTACK,3,50,0,5000,0,0,0
CREAMY,BERSERK_ST,NPC_WINDATTACK,1,200,0,5000,0,0,0
CREAMY_FEAR,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
CREAMY_FEAR,BERSERK_ST,AL_TELEPORT,1,50,0,5000,0,0,0
CREAMY_FEAR,IDLE_ST,AL_TELEPORT,1,50,0,5000,0,0,0
CREAMY_FEAR,BERSERK_ST,NPC_BLINDATTACK,5,50,0,5000,0,0,0
CREAMY_FEAR,BERSERK_ST,NPC_CURSEATTACK,5,50,800,5000,NO_DISPEL,0,0
CREAMY_FEAR,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,0
CREAMY_FEAR,BERSERK_ST,RG_INTIMIDATE,1,50,0,5000,0,0,0
CRUISER,BERSERK_ST,NPC_COMBOATTACK,1,50,700,5000,NO_DISPEL,0,0
CRUISER,RUSH_ST,NPC_EMOTION,1,200,0,5000,0,0,0
DARK_FRAME,BERSERK_ST,CR_REFLECTSHIELD,2,50,0,300000,NO_DISPEL,0,0
DARK_FRAME,BERSERK_ST,NPC_BLINDATTACK,3,50,0,5000,0,0,0
DARK_FRAME,RUSH_ST,NPC_BLINDATTACK,3,50,0,5000,0,0,0
DARK_FRAME,BERSERK_ST,NPC_BLOODDRAIN,1,50,0,5000,0,0,0
DARK_FRAME,BERSERK_ST,NPC_CURSEATTACK,3,50,800,5000,NO_DISPEL,0,0
DARK_FRAME,RUSH_ST,NPC_CURSEATTACK,3,50,800,5000,NO_DISPEL,0,0
DARK_FRAME,BERSERK_ST,NPC_PETRIFYATTACK,3,50,500,5000,NO_DISPEL,0,0
DARK_FRAME,RUSH_ST,NPC_PETRIFYATTACK,3,50,500,5000,NO_DISPEL,0,0
DARK_ILLUSION,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
DARK_ILLUSION,BERSERK_ST,NPC_GUIDEDATTACK,2,50,1000,20000,NO_DISPEL,0,0
DARK_ILLUSION,BERSERK_ST,WZ_METEOR,5,50,1500,5000,0,0,0
DARK_ILLUSION,RUSH_ST,WZ_METEOR,5,50,1500,5000,0,0,0
DELETER,RUSH_ST,MG_FIREBALL,9,50,0,5000,0,0,0
DELETER,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
DELETER,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
DELETER,BERSERK_ST,NPC_FIREATTACK,3,50,500,5000,NO_DISPEL,0,0
DELETER,BERSERK_ST,NPC_FIREATTACK,3,50,500,5000,NO_DISPEL,0,0
DELETER,BERSERK_ST,NPC_PIERCINGATT,1,50,0,5000,0,0,0
DELETER_,BERSERK_ST,MG_FIREWALL,5,50,500,5000,0,0,0
DELETER_,RUSH_ST,MG_FIREWALL,5,50,500,5000,0,0,0
DELETER_,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
DELETER_,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
DELETER_,BERSERK_ST,NPC_FIREATTACK,3,50,500,5000,NO_DISPEL,0,0
DELETER_,RUSH_ST,NPC_FIREATTACK,3,50,500,5000,NO_DISPEL,0,0
DELETER_,BERSERK_ST,SM_MAGNUM,9,50,500,5000,NO_DISPEL,0,0
DEMON_PUNGUS,BERSERK_ST,NPC_BLINDATTACK,5,50,0,5000,0,0,0
DEMON_PUNGUS,RUSH_ST,NPC_BLINDATTACK,5,50,0,5000,0,0,0
DEMON_PUNGUS,ANGRY_ST,NPC_BLINDATTACK,5,50,0,5000,0,0,0
DEMON_PUNGUS,FOLLOW_ST,NPC_BLINDATTACK,5,50,0,5000,0,0,0
DEMON_PUNGUS,BERSERK_ST,NPC_PETRIFYATTACK,5,50,500,5000,NO_DISPEL,0,0
DEMON_PUNGUS,RUSH_ST,NPC_PETRIFYATTACK,5,50,500,5000,NO_DISPEL,0,0
DEMON_PUNGUS,ANGRY_ST,NPC_PETRIFYATTACK,5,50,500,5000,NO_DISPEL,0,0
DEMON_PUNGUS,FOLLOW_ST,NPC_PETRIFYATTACK,5,50,500,5000,NO_DISPEL,0,0
DENIRO,MOVEITEM_ST,NPC_EMOTION,1,200,0,5000,0,0,0
DENIRO,BERSERK_ST,NPC_GROUNDATTACK,2,50,500,5000,NO_DISPEL,0,0
DESERT_WOLF,RUSH_ST,NPC_EMOTION,1,20,0,5000,0,0,0
DESERT_WOLF,IDLE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
DESERT_WOLF,BERSERK_ST,NPC_FIREATTACK,1,200,0,5000,0,0,0
DESERT_WOLF,BERSERK_ST,TF_SPRINKLESAND,1,50,0,5000,0,0,0
BABY_DESERT_WOLF,RMOVE_ST,NPC_EMOTION,1,200,0,5000,0,0,0
BABY_DESERT_WOLF,BERSERK_ST,NPC_FIREATTACK,1,200,0,5000,0,0,0
DEVIACE,IDLE_ST,NPC_EMOTION,1,20,0,30000,0,0,0
DEVIACE,BERSERK_ST,NPC_WATERATTACK,3,50,500,5000,NO_DISPEL,0,0
DEVIACE,BERSERK_ST,WZ_WATERBALL,4,50,1500,5000,0,0,0
DEVIACE,RUSH_ST,WZ_WATERBALL,4,50,1500,5000,0,0,0
DEVILING,RUSH_ST,AL_DECAGI,1,200,1000,5000,NO_DISPEL,0,0
DEVILING,BERSERK_ST,NPC_DARKNESSATTACK,2,200,0,5000,NO_DISPEL,0,0
DEVILING,BERSERK_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,3
DEVILING,IDLE_ST,NPC_SUMMONSLAVE,1,1000,2000,60000,NO_DISPEL,IF_SLAVENUM,3
DEVIRUCHI,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
DEVIRUCHI,BERSERK_ST,NPC_CURSEATTACK,3,50,800,5000,NO_DISPEL,0,0
DEVIRUCHI,BERSERK_ST,NPC_DARKNESSATTACK,1,200,0,5000,0,0,0
DEVIRUCHI,BERSERK_ST,NPC_ENERGYDRAIN,1,50,0,5000,0,IF_HP,30
DEVIRUCHI,RUSH_ST,NPC_ENERGYDRAIN,1,50,0,5000,0,IF_HP,30
DIABOLIC,BERSERK_ST,NPC_FIREATTACK,2,50,500,5000,NO_DISPEL,0,0
DIABOLIC,ANGRY_ST,NPC_FIREATTACK,2,50,500,5000,NO_DISPEL,0,0
DIABOLIC,BERSERK_ST,WZ_METEOR,3,50,1500,5000,0,0,0
