ID,Name,JName,SType,MLV,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,Delay1,Delay2,Delay3,Delay4,Delay5,Delay6,Delay7,Delay8,Delay9,Delay10,HP,JLevel,Item1,Item1Count,Item2,Item2Count,Item3,Item3Count,Item4,Item4Count,Item5,Item5Count,Item6,Item6Count,Item7,Item7Count,Cast,CastLv+,CastLim,Range,Ele,Dat1_1,Dat1_2,Dat1_3,Dat1_4,Dat1_5,Dat1_6,Dat1_7,Dat1_8,Dat1_9,Dat1_10,Dat2_1,Dat2_2,Dat2_3,Dat2_4,Dat2_5,Dat2_6,Dat2_7,Dat2_8,Dat2_9,Dat2_10,Dat3_1,Dat3_2,Dat3_3,Dat3_4,Dat3_5,Dat3_6,Dat3_7,Dat3_8,Dat3_9,Dat3_10,Dat4_1,Dat4_2,Dat4_3,Dat4_4,Dat4_5,Dat4_6,Dat4_7,Dat4_8,Dat4_9,Dat4_10,Range2,Icon,Job,JobA,JobB,Req1_1,RLV1_1,Req2_1,RLV2_1,Req3_1,RLV3_1,Req4_1,RLV4_1,Req5_1,RLV5_1,Req2_1,RLV2_1,Req2_2,RLV2_2,Req2_3,RLV2_3,Req2_4,RLV2_4,Req2_5,RLV2_5 
25,AL_PNEUMA,AL_PNEUMA,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421648,,,27,4,,,,,,,,,,,,,,,,,,
26,AL_TELEPORT,AL_TELEPORT,4,2,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421648,,,24,1,,,,,,,,,,,,,,,,,,
27,AL_WARP,AL_WARP,2,4,35,32,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,9,,,1,2,3,,,,,,,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421648,,,26,2,,,,,,,,,,,,,,,,,,
28,AL_HEAL,AL_HEAL,16,10,13,16,19,22,25,28,31,34,37,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,12,20,28,36,44,52,60,68,76,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8438032,,,,,,,,,,,,,,,,,,,,,,
29,AL_INCAGI,AL_INCAGI,16,10,23,26,29,32,35,38,41,44,47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,9,,75,90,105,120,135,150,165,180,195,210,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,12,8421648,,,28,3,,,,,,,,,,,,,,,,,,
30,AL_DECAGI,AL_DECAGI,16,10,23,26,29,32,35,38,41,44,47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,9,,75,90,105,120,135,150,165,180,195,210,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,13,8421648,,,29,1,,,,,,,,,,,,,,,,,,
31,AL_HOLYWATER,AL_HOLYWATER,4,1,10,,,,,,,,,,2000,,,,,,,,,,,,713,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421648,,,,,,,,,,,,,,,,,,,,,,
32,AL_CRUCIS,AL_CRUCIS,4,10,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,130,160,190,220,250,280,310,340,370,400,12,14,16,18,20,22,24,26,28,30,,,,,,,,,,,,,,,,,,,,,9,,8421648,,,23,3,,,,,,,,,,,,,,,,,,
33,AL_ANGELUS,AL_ANGELUS,4,10,23,26,29,32,35,38,41,44,47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,30,60,90,120,150,180,210,240,270,300,115,120,125,130,135,140,145,150,155,160,,,,,,,,,,,,,,,,,,,,,,9,8421648,,,22,3,,,,,,,,,,,,,,,,,,
34,AL_BLESSING,AL_BLESSING,16,10,28,32,36,40,44,48,52,56,60,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,60,80,100,120,140,160,180,200,220,240,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,10,8421648,,,22,5,,,,,,,,,,,,,,,,,,
35,AL_CURE,AL_CURE,16,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8438032,,,,,,,,,,,,,,,,,,,,,,
36,MC_INCCARRY,MC_INCCARRY,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,400,600,800,1000,1200,1400,1600,1800,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8651808,,,,,,,,,,,,,,,,,,,,,,
37,MC_DISCOUNT,MC_DISCOUNT,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,91,89,87,85,83,81,79,77,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8651808,,,36,3,,,,,,,,,,,,,,,,,,
38,MC_OVERCHARGE,MC_OVERCHARGE,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,109,111,113,115,117,119,121,123,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8651808,,,37,3,,,,,,,,,,,,,,,,,,
39,MC_PUSHCART,MC_PUSHCART,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,24,21,18,15,12,9,6,3,,55,60,65,70,75,80,85,90,95,100,,,,,,,,,,,,,,,,,,,,,,,8651808,,,36,5,,,,,,,,,,,,,,,,,,
40,MC_IDENTIFY,MC_IDENTIFY,4,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8651808,,,,,,,,,,,,,,,,,,,,,,
41,MC_VENDING,MC_VENDING,4,10,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8651808,,,39,3,,,,,,,,,,,,,,,,,,
42,MC_MAMMONITE,MC_MAMMONITE,1,10,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,150,200,250,300,350,400,450,500,550,600,100,200,300,400,500,600,700,800,900,1000,,,,,,,,,,,,,,,,,,,,,,,8651808,,,,,,,,,,,,,,,,,,,,,,
43,AC_OWL,AC_OWL,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574920,,,,,,,,,,,,,,,,,,,,,,
44,AC_VULTURE,AC_VULTURE,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,1705992,,,43,3,,,,,,,,,210,1,,,,,,,,
45,AC_CONCENTRATION,AC_CONCENTRATION,4,10,25,30,35,40,45,50,55,60,65,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,80,100,120,140,160,180,200,220,240,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,3,9963528,,,44,1,,,,,,,,,,,,,,,,,,
46,AC_DOUBLE,AC_DOUBLE,1,10,12,12,12,12,12,12,12,12,12,12,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,15,,100,110,120,130,140,150,160,170,180,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705992,,,,,,,,,,,,,,,,,,,,,,
47,AC_SHOWER,AC_SHOWER,1,10,15,15,15,15,15,15,15,15,15,15,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,9,,80,85,90,95,100,105,110,115,120,125,80,85,90,95,100,105,110,115,120,125,,,,,,,,,,,,,,,,,,,,,6,,1574920,,,46,5,,,,,,,,,,,,,,,,,,
48,TF_DOUBLE,TF_DOUBLE,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,15,20,25,30,35,40,45,50,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,8523840,,,,,,,,,,,,,,,,,,,,,,
49,TF_MISS,TF_MISS,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8523840,,,,,,,,,,,,,,,,,,,,,,
50,TF_STEAL,TF_STEAL,1,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,25,30,35,40,45,50,55,60,65,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8523840,,,,,,,,,,,,,,,,,,,,,,
51,TF_HIDING,TF_HIDING,4,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,60,90,120,150,180,210,240,270,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8523840,,,50,5,,,,,,,,,,,,,,,,,,
52,TF_POISON,TF_POISON,1,10,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,115,130,145,160,175,190,205,220,235,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8523840,,,,,,,,,,,,,,,,,,,,,,
53,TF_DETOXIFY,TF_DETOXIFY,16,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8523840,,,52,3,,,,,,,,,,,,,,,,,,
54,ALL_RESURRECTION,ALL_RESURRECTION,16,4,60,60,60,60,,,,,,,,1000,2000,3000,,,,,,,,,717,1,,,,,,,,,,,,,6000,,,9,,,15,30,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,
55,KN_SPEARMASTERY,KN_SPEARMASTERY,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,12,16,20,24,28,32,36,40,5,10,15,20,25,30,35,40,45,50,,,,,,,,,,,,,,,,,,,,,,,16512,,,,,,,,,,,,,,,,,,,,,,
56,KN_PIERCE,KN_PIERCE,1,10,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,110,120,130,140,150,160,170,180,190,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,55,1,,,,,,,,,,,,,,,,,,
57,KN_BRANDISHSPEAR,KN_BRANDISHSPEAR,1,10,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,120,140,160,180,200,220,240,260,280,300,1,1,1,2,2,2,3,3,3,4,,,,,,,,,,,,,,,,,,,,,4,,128,,,,,,,,,,,,,,,,,,,,,,
58,KN_SPEARSTAB,KN_SPEARSTAB,1,10,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,115,130,145,160,175,190,205,220,235,250,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,56,5,,,,,,,,,,,,,,,,,,
59,KN_SPEARBOOMERANG,KN_SPEARBOOMERANG,1,5,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,150,200,250,300,350,,,,,,3,5,7,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,56,3,,,,,,,,,,,,,,,,,,
60,KN_TWOHANDQUICKEN,KN_TWOHANDQUICKEN,4,10,14,18,22,26,30,34,38,42,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,60,90,120,150,180,210,240,270,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,128,,,3,1,,,,,,,,,,,,,,,,,,
61,KN_AUTOCOUNTER,KN_AUTOCOUNTER,4,5,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,6,9,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,3,1,,,,,,,,,,,,,,,,,,
62,KN_BOWLINGBASH,KN_BOWLINGBASH,1,10,13,14,15,16,17,18,19,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,150,200,250,300,350,400,450,500,550,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,128,,,3,5,5,10,7,3,60,10,61,5,,,,,,,,,,
63,KN_RIDING,KN_RIDING,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16512,,,8,1,,,,,,,,,,,,,,,,,,
64,KN_CAVALIERMASTERY,KN_CAVALIERMASTERY,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,70,80,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16512,,,63,1,,,,,,,,,,,,,,,,,,
65,PR_MACEMASTERY,PR_MACEMASTERY,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,
66,PR_IMPOSITIO,PR_IMPOSITIO,16,5,13,16,19,22,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,60,60,60,60,60,30,30,30,30,30,15,30,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,256,,,,,,,,,,,,,,,,,,,,,,
67,PR_SUFFRAGIUM,PR_SUFFRAGIUM,1,3,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,30,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,256,,,66,2,,,,,,,,,,,,,,,,,,
68,PR_ASPERSIO,PR_ASPERSIO,16,5,14,18,22,25,30,,,,,,,,,,,,,,,,,,523,1,,,,,,,,,,,,,,,,9,,60,90,120,150,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,256,,,31,1,66,3,,,,,,,,,,,,,,,,
69,PR_BENEDICTIO,PR_BENEDICTIO,4,5,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,80,120,160,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,256,,,68,5,75,3,,,,,,,,,,,,,,,,
70,PR_SANCTUARY,PR_SANCTUARY,2,10,15,18,21,24,27,30,33,36,39,40,,,,,,,,,,,,,717,1,,,,,,,,,,,,,5000,,,6,,4,7,10,13,16,19,22,25,28,31,100,200,300,400,500,600,777,777,777,777,,,,,,,,,,,,,,,,,,,,,,,256,,,28,1,,,,,,,,,,,,,,,,,,
71,PR_SLOWPOISON,PR_SLOWPOISON,4,5,35,32,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,10,20,30,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,256,,,,,,,,,,,,,,,,,,,,,,
72,PR_STRECOVERY,PR_STRECOVERY,16,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,
73,PR_KYRIE,PR_KYRIE,16,10,20,20,20,25,25,25,30,30,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,9,,120,120,120,120,120,120,120,120,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,256,,,33,2,,,,,,,,,,,,,,,,,,
74,PR_MAGNIFICAT,PR_MAGNIFICAT,4,5,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,20,40,60,80,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,256,,,,,,,,,,,,,,,,,,,,,,
75,PR_GLORIA,PR_GLORIA,4,5,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,20,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,256,,,73,4,74,3,,,,,,,,,,,,,,,,
76,PR_LEXDIVINA,PR_LEXDIVINA,1,10,20,20,20,20,20,18,16,14,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,30,35,40,45,50,55,60,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,24,1,,,,,,,,,,,,,,,,,,
77,PR_TURNUNDEAD,PR_TURNUNDEAD,1,10,16,16,16,16,16,16,16,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,9,6,100,100,100,100,100,100,100,100,100,100,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,256,,,54,1,76,3,,,,,,,,,,,,,,,,
78,PR_LEXAETERNA,PR_LEXAETERNA,1,1,10,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,256,,,76,5,,,,,,,,,,,,,,,,,,
79,PR_MAGNUS,PR_MAGNUS,2,10,40,42,44,46,48,50,52,54,56,58,,,,,,,,,,,,,717,1,,,,,,,,,,,,,15000,,,5,6,10,10,10,10,10,10,10,10,10,10,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,256,,,77,3,78,1,12,1,,,,,,,,,,,,,,
80,WZ_FIREPILLAR,WZ_FIREPILLAR,2,10,25,25,25,25,25,25,25,25,25,25,,,,,,,,,,,,,717,1,,,,,,,,,,,,,3300,-300,,9,3,30,30,30,30,30,30,30,30,30,30,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,,,1,,512,,,18,1,,,,,,,,,,,,,,,,,,
